# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sun Nov  5 01:18:16 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.001 -1.19029 9.80000 0.0900000036 1.0816895926    0.090 -3.215  3.4562  5.384    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.19e-17      0.00 7.478e-01 2.512e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.807 13.919 16.164 12.579
0.001 -1.19029 9.80000 0.0960109457 1.1368931833    0.096 -3.058  3.4786  5.345    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.54e-17      0.00 7.474e-01 2.516e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.416 13.377 15.212 12.114
0.001 -1.19029 9.80000 0.1000000015 1.1711064122    0.100 -2.960  3.4927  5.320    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.54e-17      0.00 7.471e-01 2.519e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.169 13.033 14.644 11.825
0.001 -1.19029 9.80000 0.1000954062 1.1719028653    0.100 -2.958  3.4929  5.320    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.57e-17      0.00 7.471e-01 2.519e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.166 13.028 14.636 11.821
0.001 -1.19029 9.80000 0.1199999973 1.3193154249    0.120 -2.676  3.5255  5.247    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-16      0.00 7.459e-01 2.531e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 9.999e-04 11.460 12.113 13.341 11.028
0.001 -1.19029 9.80000 0.1400000006 1.4384526719    0.140 -2.496  3.5418  5.198    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.7e-16      0.00 7.450e-01 2.540e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.009 11.568 12.665 10.536
0.001 -1.19029 9.80000 0.1599999964 1.5372931554    0.160 -2.359  3.5521  5.161    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.61e-16      0.00 7.441e-01 2.549e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.667 11.170 12.197 10.170
0.001 -1.19029 9.80000 0.2000000179 1.6938791367    0.200 -2.145  3.5664  5.102    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.66e-16      0.00 7.431e-01 2.559e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.133 10.566 11.509 9.607
0.001 -1.19029 9.80000 0.2500000000 1.8403257998    0.250 -1.942  3.5777  5.041    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.65e-16      0.00 7.425e-01 2.565e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.626 10.008 10.893 9.079
0.001 -1.19029 9.80000 0.3000000417 1.9529140366    0.300 -1.782  3.5862  4.994    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.21e-15      0.00 7.425e-01 2.565e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.225 9.573 10.419 8.666
0.001 -1.19029 9.80000 0.3499999940 2.0434174644    0.350 -1.649  3.5932  4.956    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-15      0.00 7.485e-01 2.505e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 8.892 9.214 10.030 8.325
0.001 -1.19029 9.80000 0.4000000060 2.1185024399    0.400 -1.503  3.6039  4.910    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.19e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 8.527 8.811 9.582 7.948
0.001 -1.19029 9.80000 0.4500000179 2.1822809362    0.450 -1.332  3.6201  4.856    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 8.101 8.331 9.038 7.508
0.001 -1.19029 9.80000 0.5000000000 2.2374541529    0.500 -1.138  3.6466  4.814    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.07e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 7.616 7.763 8.371 7.009
0.001 -1.19029 9.80000 0.5500000715 2.2836583126    0.550 -0.935  3.6765  4.772    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.08e-15      0.00 7.674e-01 2.317e-01 1.675e-04 4.519e-05 4.099e-04 -1.000 9.308e-04 7.109 7.167 7.673 6.493
0.001 -1.19029 9.80000 0.6000000238 2.3211213258    0.600 -0.750  3.7022  4.727    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-14      0.00 7.725e-01 2.266e-01 1.642e-04 4.433e-05 4.022e-04 -1.000 9.000e-04 6.645 6.643 7.079 6.030
0.001 -1.19029 9.80000 0.6232055426 2.3361783453    0.623 -0.664  3.7155  4.710    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-14      0.00 7.751e-01 2.240e-01 1.626e-04 4.389e-05 3.983e-04 -1.000 8.999e-04 6.429 6.405 6.811 5.821
0.001 -1.19029 9.80000 0.6496432424 2.3518340554    0.650 -0.567  3.7304  4.691    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-14      0.00 7.783e-01 2.208e-01 1.606e-04 4.336e-05 3.935e-04 -1.000 8.999e-04 6.188 6.146 6.520 5.593
0.001 -1.19029 9.80000 0.6499999762 2.3520353107    0.650 -0.566  3.7306  4.691    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-14      0.00 7.783e-01 2.208e-01 1.606e-04 4.335e-05 3.934e-04 -1.000 9.000e-04 6.185 6.143 6.516 5.590
0.001 -1.19029 9.80000 0.6640668511 2.3597734966    0.664 -0.515  3.7380  4.679    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.15e-14      0.00 7.803e-01 2.188e-01 1.593e-04 4.301e-05 3.903e-04 -1.000 9.000e-04 6.058 6.010 6.369 5.471
0.001 -1.19029 9.80000 0.6823142171 2.3692667138    0.682 -0.450  3.7473  4.663    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.51e-14      0.00 7.832e-01 2.159e-01 1.575e-04 4.254e-05 3.862e-04 -1.000 8.836e-04 5.894 5.841 6.181 5.322
0.001 -1.19029 9.80000 0.6994596720 2.3776695763    0.699 -0.389  3.7558  4.647    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.91e-14      0.00 7.860e-01 2.132e-01 1.557e-04 4.206e-05 3.820e-04 -1.000 8.066e-04 5.743 5.687 6.010 5.187
0.001 -1.19029 9.80000 0.6999999881 2.3779266974    0.700 -0.387  3.7561  4.646    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.92e-14      0.00 7.861e-01 2.131e-01 1.556e-04 4.205e-05 3.818e-04 -1.000 8.083e-04 5.738 5.682 6.004 5.182
0.001 -1.19029 9.80000 0.7173375487 2.3859412697    0.717 -0.326  3.7642  4.628    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -3.39e-14      0.00 7.896e-01 2.095e-01 1.527e-04 4.143e-05 3.764e-04 -1.000 8.827e-04 5.585 5.529 5.834 5.047
0.001 -1.19029 9.80000 0.7345715761 2.3934783337    0.734 -0.265  3.7720  4.609    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.94e-14      0.00 7.936e-01 2.056e-01 1.495e-04 4.075e-05 3.705e-04 -1.000 8.353e-04 5.432 5.378 5.668 4.913
0.001 -1.19029 9.80000 0.7500000000 2.3998889087    0.750 -0.210  3.7787  4.590    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.52e-14      0.00 7.974e-01 2.018e-01 1.465e-04 4.009e-05 3.647e-04 -1.000 8.274e-04 5.296 5.243 5.521 4.792
0.001 -1.19029 9.80000 0.7602797151 2.4039944766    0.760 -0.174  3.7823  4.574    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.97e-14      0.00 8.015e-01 1.977e-01 1.439e-04 3.939e-05 3.585e-04 -1.000 8.001e-04 5.205 5.153 5.424 4.711
0.001 -1.19029 9.80000 0.7776789069 2.4106598643    0.777 -0.112  3.7884  4.546    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -5.86e-14      0.00 8.091e-01 1.901e-01 1.392e-04 3.813e-05 3.471e-04 -1.000 7.996e-04 5.049 5.001 5.261 4.571
0.001 -1.19029 9.80000 0.7942779064 2.4167067043    0.794 -0.052  3.7939  4.517    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -6.88e-14      0.00 8.167e-01 1.825e-01 1.346e-04 3.689e-05 3.361e-04 -1.000 7.851e-04 4.899 4.853 5.103 4.436
0.001 -1.19029 9.80000 0.8000000119 2.4187244405    0.800 -0.031  3.7958  4.507    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -7.28e-14      0.00 8.193e-01 1.799e-01 1.330e-04 3.647e-05 3.323e-04 -1.000 7.668e-04 4.847 4.802 5.048 4.389
0.001 -1.19029 9.80000 0.8146730065 2.4237498133    0.814  0.023  3.8006  4.480    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -8.42e-14      0.00 8.216e-01 1.777e-01 1.327e-04 3.639e-05 3.318e-04 -1.000 7.300e-04 4.713 4.669 4.907 4.267
0.001 -1.19029 9.80000 0.8309400678 2.4290832571    0.830  0.084  3.8057  4.448    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -9.94e-14      0.00 8.235e-01 1.757e-01 1.326e-04 3.640e-05 3.321e-04 -1.000 7.482e-04 4.561 4.518 4.748 4.128
0.001 -1.19029 9.80000 0.8458628654 2.4337690579    0.845  0.141  3.8104  4.417    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-13      0.00 8.250e-01 1.743e-01 1.328e-04 3.648e-05 3.329e-04 -1.000 7.409e-04 4.417 4.376 4.597 3.995
