# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sat Nov  4 20:13:26 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.02 0.14251 8.80000 0.0900000036 1.0816895926    0.090 -3.329  3.3624  5.123    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.44e-17      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 13.093 15.176 18.010 13.688
0.02 0.14251 8.80000 0.1000000015 1.1711064122    0.100 -3.203  3.3813  5.118    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.93e-17      0.00 6.959e-01 2.841e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.778 14.860 17.692 13.372
0.02 0.14251 8.80000 0.1035083830 1.1997622346    0.103 -3.168  3.3863  5.118    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.4e-17      0.00 6.959e-01 2.841e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.690 14.772 17.604 13.284
0.02 0.14251 8.80000 0.1200000048 1.3193154741    0.120 -2.991  3.4099  5.099    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-16      0.00 6.959e-01 2.841e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.247 14.329 17.154 12.841
0.02 0.14251 8.80000 0.1400000006 1.4384526719    0.140 -2.808  3.4312  5.069    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-16      0.00 6.958e-01 2.842e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.791 13.669 16.223 12.229
0.02 0.14251 8.80000 0.1505161226 1.4925551030    0.150 -2.746  3.4388  5.069    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-16      0.00 6.959e-01 2.841e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.635 13.413 15.846 11.996
0.02 0.14251 8.80000 0.1599999964 1.5372931554    0.160 -2.681  3.4455  5.057    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-16      0.00 6.958e-01 2.842e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.473 13.163 15.489 11.768
0.02 0.14251 8.80000 0.1844730675 1.6383766547    0.184 -2.545  3.4575  5.031    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.56e-16      0.00 6.958e-01 2.842e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.133 12.669 14.799 11.313
0.02 0.14251 8.80000 0.2000000030 1.6938790862    0.200 -2.465  3.4642  5.013    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.02e-16      0.00 6.957e-01 2.843e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.932 12.388 14.415 11.054
0.02 0.14251 8.80000 0.2121827751 1.7336455704    0.212 -2.416  3.4686  5.007    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.29e-16      0.00 6.957e-01 2.843e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.811 12.216 14.182 10.897
0.02 0.14251 8.80000 0.2500000000 1.8403257998    0.250 -2.269  3.4806  4.979    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.39e-16      0.00 6.957e-01 2.843e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.443 11.716 13.520 10.436
0.02 0.14251 8.80000 0.3000000119 1.9529139769    0.300 -2.111  3.4930  4.950    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.01e-16      0.00 6.957e-01 2.843e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.046 11.192 12.839 9.954
0.02 0.14251 8.80000 0.3072369099 1.9671837245    0.307 -2.087  3.4946  4.942    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.33e-16      0.00 6.957e-01 2.843e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.987 11.119 12.750 9.886
0.02 0.14251 8.80000 0.3500000238 2.0434175133    0.350 -1.962  3.5036  4.911    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.17e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.675 10.729 12.269 9.523
0.02 0.14251 8.80000 0.4000000358 2.1185024810    0.400 -1.813  3.5153  4.866    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.303 10.265 11.698 9.093
0.02 0.14251 8.80000 0.4500000179 2.1822809362    0.450 -1.665  3.5271  4.816    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.932 9.810 11.150 8.672
0.02 0.14251 8.80000 0.5000000000 2.2374541529    0.500 -1.515  3.5406  4.766    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.556 9.348 10.594 8.245
0.02 0.14251 8.80000 0.5500000119 2.2836582633    0.550 -1.359  3.5577  4.720    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.23e-15      0.00 6.974e-01 2.828e-01 3.581e-03 9.660e-04 8.761e-03 -1.000 1.987e-02 8.169 8.853 9.988 7.798
0.02 0.14251 8.80000 0.6000000238 2.3211213258    0.600 -1.201  3.5796  4.688    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.63e-15      0.00 6.976e-01 2.825e-01 3.578e-03 9.653e-04 8.755e-03 -1.000 1.990e-02 7.773 8.318 9.316 7.329
0.02 0.14251 8.80000 0.6499999762 2.3520353107    0.650 -1.044  3.6053  4.668    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.53e-15      0.00 6.978e-01 2.823e-01 3.576e-03 9.648e-04 8.750e-03 -1.000 1.990e-02 7.380 7.780 8.646 6.865
0.02 0.14251 8.80000 0.6574326158 2.3561714498    0.657 -1.021  3.6093  4.666    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.87e-15      0.00 6.979e-01 2.822e-01 3.575e-03 9.646e-04 8.749e-03 -1.000 1.989e-02 7.322 7.701 8.549 6.798
0.02 0.14251 8.80000 0.7000000477 2.3779267258    0.700 -0.893  3.6315  4.654    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.05e-15      0.00 6.981e-01 2.821e-01 3.574e-03 9.641e-04 8.745e-03 -1.000 1.982e-02 7.003 7.267 8.011 6.427
0.02 0.14251 8.80000 0.7021355033 2.3789384765    0.702 -0.886  3.6328  4.654    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.18e-15      0.00 6.981e-01 2.821e-01 3.571e-03 9.639e-04 8.743e-03 -1.000 1.981e-02 6.986 7.244 7.982 6.408
0.02 0.14251 8.80000 0.7373360991 2.3946497076    0.737 -0.780  3.6553  4.659    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-14      0.00 6.983e-01 2.819e-01 3.536e-03 9.626e-04 8.740e-03 -1.000 1.986e-02 6.720 6.865 7.506 6.096
0.02 0.14251 8.80000 0.7500000000 2.3998889087    0.750 -0.743  3.6632  4.661    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-14      0.00 6.982e-01 2.819e-01 3.525e-03 9.625e-04 8.743e-03 -1.000 1.989e-02 6.628 6.737 7.347 5.990
0.02 0.14251 8.80000 0.8000000119 2.4187244405    0.800 -0.615  3.6822  4.637    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-14      0.00 6.984e-01 2.817e-01 3.522e-03 9.616e-04 8.735e-03 -1.000 1.987e-02 6.308 6.342 6.885 5.647
0.02 0.14251 8.80000 0.8500000238 2.4350346840    0.850 -0.492  3.7007  4.614    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-14      0.00 6.988e-01 2.814e-01 3.518e-03 9.608e-04 8.727e-03 -1.000 1.980e-02 5.999 5.976 6.463 5.329
